분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CO2 총배출량(kt CO2-eq),256216.0082,286190.9877,310353.5165,347747.4906,372197.7143,401672.0912,437066.4251,457947.2808,395004.0749,430541.9621,462622.8978,482256.2347,500515.3671,512504.2544,521860.6475,521261.4242,533407.9104,546650.8555,561050.6401,564255.153,618047.3769,652029.5269,648655.6184,654661.8371,647520.0963,651088.8338,661823.1395,679647.0103,701069.2609,675177.4041,626722.3281,652481.1457,635818.4417
순배출량,216831.3584,250790.4034,275791.863,314771.7875,336861.9854,368091.7904,400046.0734,415925.8371,344595.4666,371940.9295,401764.1526,421161.4524,441740.7603,454045.3352,462049.0607,463416.5856,474365.2803,486896.257,500351.622,503782.755,560297.9372,595086.8365,597715.8897,608019.5848,599988.9924,602888.5488,613195.7693,636389.9814,659105.1095,636086.5304,587440.1986,613063.489,597381.197
에너지,219131.0944,242917.0213,260584.4279,291228.5991,312113.6588,337646.3385,371494.1661,388838.9242,331253.1713,363860.1028,393013.9235,405779.5483,423345.6516,433207.2121,442682.4554,439273.027,449840.1309,468376.1077,481693.4454,490230.3068,541305.619,571125.7766,565908.2676,560920.0632,552240.7011,554205.3177,566243.0397,578285.0249,602859.9484,577608.6959,536145.0865,558205.2363,543378.8654
A 연료연소,218944.115,242753.453,260454.3585,291125.904,312032.6828,337583.9437,371440.0269,388789.4526,331205.3189,363813.9119,392968.1228,405737.3089,423308.7644,433170.4939,442637.8869,439216.7037,449786.7723,468327.2433,481651.0993,490178.4234,541256.1636,571080.6103,565863.7329,560877.2553,552205.3495,554176.0964,566215.703,578251.5559,602831.1163,577583.4135,536124.0381,558191.3676,543368.2387
A 연료연소_1 에너지산업,41885.6716,49781.26154,58854.01038,66746.03101,81046.88666,91650.47054,115179.6937,124533.5496,111984.2689,121984.1003,135819.6984,146598.0156,155303.2741,159257.1181,171855.0105,176753.1448,186465.4512,198786.7199,211668.5404,229789.4148,253692.744,264016.8555,268491.4316,275114.7725,262954.5395,261272.548,262841.0158,273747.5635,298516.834,278064.7982,247019.4747,258742.7729,256216.8353
A 연료연소_a 공공 전기 및 열 생산,37044.7609,43623.51266,51109.71808,57876.59297,71469.05493,79276.26625,96299.14604,104197.7306,92143.632,101496.9199,120324.8325,131435.2945,141053.9717,145126.1704,156779.2761,161773.0716,171559.1947,183816.943,195425.0294,214045.0215,239037.8174,247819.5832,252218.8084,259272.7706,243704.2912,243465.6574,243797.931,255315.4442,277427.7407,256616.9985,227215.1072,239039.8551,236415.8667
A 연료연소_b 석유정제,4183.18233,4965.93926,6081.84155,6770.02314,7027.56189,9271.64823,10501.9116,13134.08852,13371.07191,13845.90429,13676.07617,13801.88486,13785.72487,13347.32781,13331.83273,13858.89699,13965.52164,14204.71722,15575.43434,15149.35907,13979.78778,15317.36012,15160.24754,14751.99357,18494.48945,17139.27542,18380.12676,17249.13534,20265.21782,20556.68425,19134.39741,18730.25888,18404.97123
A 연료연소_c 고체연료 제조 및 기타 에너지 산업,657.72837,1191.80961,1662.45074,2099.4149,2550.26984,3102.55605,8378.63609,7201.73051,6469.56503,6641.27611,1818.7898,1360.83631,463.57761,783.61997,1743.90166,1121.17615,940.73492,765.05972,668.07661,595.03421,675.13875,879.91212,1112.37571,1090.00834,755.75882,667.61519,662.95803,1182.98395,823.8755,891.11543,669.97009,972.65886,1395.99742
A 연료연소_2 제조업 및 건설업_2 제조업 및 건설업,71922.38085,85016.97916,88560.18648,97206.23112,102557.4807,104272.8589,105882.5423,106961.9112,96730.73804,104200.762,114987.6332,115154.4169,119063.5056,123985.4604,124769.0874,115686.2859,118351.2295,124007.6582,128555.3901,119426.7005,142222.1971,163534.4861,154066.9708,141594.9475,150708.011,147806.0983,151972.9596,152413.1481,152832.2848,148151.1778,144234.8121,152213.8053,140313.4013
A 연료연소_a 철강,27806.84885,35147.82143,37175.68375,41547.98506,41310.09612,42942.78294,43477.74526,41549.44316,42478.94397,44929.72154,46609.4718,46822.9115,49156.1467,50181.78678,52771.30473,46994.38206,49513.18785,55225.53625,59446.31348,51604.28215,69169.00249,84382.4002,82132.35271,69645.10527,81343.93912,77781.73238,77397.40108,77299.88984,79870.50222,78233.12293,75305.81026,78805.76275,70228.67185
